,data
288,(2003.407675543535-1856.4879014909234j)
289,(-8.872802936821245e-09-1.9986146071460098e-10j)
290,(2003.3303911933476-1835.2973494132557j)
291,(1.1289102985756472e-09+1.4097167877480388e-10j)
292,(2003.2547877370894-1814.3290208535577j)
293,(-2.601154847070575e-10+9.233644959749654e-10j)
294,(2003.1808205974557-1793.5780780107432j)
295,(-3.710738383233547e-10-3.1377567211166024e-10j)
296,(2003.1084467141009-1773.0398115024595j)
297,(3.2446223485749215e-10+2.523847797419876e-11j)
298,(2003.0376244837264-1752.7096359991444j)
299,(-2.014530764427036e-10+3.6561687011271715e-10j)
300,(2002.9683136993401-1732.5830860064698j)
301,(-5.422862159321085e-10+9.36779542826116e-10j)
302,(2002.9004754977493-1712.6558118382104j)
303,(2.928572939708829e-10-1.7621459846850485e-10j)
304,(2002.8340723064614-1692.923575738917j)
305,(3.524291969370097e-11-2.59660737356171e-10j)
306,(2002.769067789789-1673.382248159347j)
307,(-8.046754373935983e-10+5.571791916736402e-10j)
308,(2002.7054268101574-1654.0278041792048j)
309,(-1.5857040125411004e-09+1.440412233932875e-10j)
310,(2002.6431153689102-1634.856320071592j)
311,(-9.686118573881686e-11+4.96243046654854e-10j)
312,(2002.582100571336-1615.863969994728j)
313,(2.6943780540023e-10+5.151150617166422e-10j)
314,(2002.5223505824356-1597.0470228144166j)
315,(-1.0618350643198937e-10+5.40353539690841e-10j)
316,(2002.4638345905953-1578.4018390508531j)
317,(-5.206857167650014e-10+2.660840436874423e-10j)
318,(2002.4065227606484-1559.9248679285254j)
319,(-3.5288394428789616e-10+7.099174581526313e-10j)
320,(2002.3503862040243-1541.6126445512755j)
321,(8.80845618667081e-10+1.3220642358646728e-09j)
322,(2002.2953969454916-1523.461787178781j)
323,(-4.82032191939652e-10-6.463096724473871e-11j)
324,(2002.241527882094-1505.4689945987964j)
325,(5.379661160986871e-10-6.573372957063839e-10j)
326,(2002.1887527576607-1487.631043596793j)
327,(-5.641140887746587e-10+1.2004193195025437e-09j)
328,(2002.1370461277202-1469.9447865288519j)
329,(2.4726887204451486e-09-1.9537083062459715e-10j)
330,(2002.0863833358994-1452.4071489714186j)
331,(-1.984972186619416e-10-3.800550985033624e-10j)
332,(2002.036740480698-1435.015127459304j)
333,(9.724772098707035e-10+1.0016947271651588e-09j)
334,(2001.988094387182-1417.7657873009541j)
335,(-9.365521691506729e-10-3.921059033018537e-10j)
336,(2001.9404225935582-1400.6562604897915j)
337,(-1.3028511602897197e-09+4.5656634029001e-10j)
338,(2001.8937032994165-1383.6837436657145j)
339,(-3.0172486731316894e-10-3.313402885396499e-10j)
340,(2001.8479153807339-1366.8454961570199j)
341,(-8.062670531217009e-10+2.3163693185779266e-10j)
342,(2001.8030383295577-1350.1388380997137j)
343,(1.651869752095081e-09-1.148180217569461e-09j)
344,(2001.7590522549021-1333.5611486075777j)
345,(-5.680931280949153e-09+1.7019488041114528e-09j)
346,(2001.7159378566223-1317.10986401709j)
347,(3.872173692798242e-10-7.557900971733034e-10j)
348,(2001.6736763999052-1300.7824761857692j)
349,(-1.646185410209e-10-5.089191290608142e-10j)
350,(2001.632249708896-1284.5765308720431j)
351,(1.0068106348626316e-09-4.027356226288248e-10j)
352,(2001.591640130677-1268.4896260941453j)
353,(6.941718311281875e-10-8.527649697498418e-10j)
354,(2001.5518305289258-1252.519410663414j)
355,(-8.310507837450132e-10+2.093031525873812e-09j)
356,(2001.5128042666092-1236.66358265973j)
357,(9.222276275977492e-10-1.410853656125255e-10j)
358,(2001.474545186958-1220.919888028131j)
359,(5.052243068348616e-10+6.631353244301863e-10j)
360,(2001.437037596434-1205.286119160762j)
361,(6.680238584522158e-10-5.823608262289781e-10j)
362,(2001.400266251618-1189.760113592391j)
