,data
128,(3.014617251118068e-05-7.080315599061748e-05j)
129,(3.0108779220050508e-05-7.010286616981887e-05j)
130,(3.0054159915415823e-05-6.937325059652721e-05j)
131,(2.9983905625030616e-05-6.861870255825409e-05j)
132,(2.9899483436679475e-05-6.78432005773999e-05j)
133,(2.9802194696948447e-05-6.705028390108225e-05j)
134,(2.969326464796751e-05-6.624313667202841e-05j)
135,(2.9573804895655087e-05-6.542465014014454e-05j)
136,(2.9444845523585172e-05-6.459735579511516e-05j)
137,(2.9307321195659597e-05-6.376357124437959e-05j)
138,(2.9162085617429057e-05-6.292535968910329e-05j)
139,(2.9009948676161912e-05-6.208455033984706e-05j)
140,(2.8851620117009702e-05-6.12428104460605e-05j)
141,(2.868776732167788e-05-6.04016118170847e-05j)
142,(2.851902793743477e-05-5.9562239668409234e-05j)
143,(2.8345929868223152e-05-5.872588842770199e-05j)
144,(2.816900717039772e-05-5.789358705854397e-05j)
145,(2.7988749671692403e-05-5.706626203050291e-05j)
146,(2.7805569482453052e-05-5.6244711644559686e-05j)
147,(2.7619889205965364e-05-5.54296652213182e-05j)
148,(2.7432073833821846e-05-5.462174763515293e-05j)
149,(2.7242459546883424e-05-5.382150782029527e-05j)
150,(2.7051355250939935e-05-5.302942819351841e-05j)
151,(2.6859063612327816e-05-5.2245918466198304e-05j)
152,(2.666583559474134e-05-5.147133913663282e-05j)
153,(2.6471917260906253e-05-5.070599481094007e-05j)
154,(2.627753560346946e-05-4.995014381048435e-05j)
155,(2.6082881539934988e-05-4.920397969243595e-05j)
156,(2.5888135937179868e-05-4.846770417366031e-05j)
157,(2.569352970560601e-05-4.7741434229031654e-05j)
158,(2.5499158811115308e-05-4.70252963866713e-05j)
159,(2.53051734624421e-05-4.631936209786858e-05j)
160,(2.5111726619897468e-05-4.5623671502958985e-05j)
161,(2.49189170400399e-05-4.493825272344765e-05j)
162,(2.4726890858417505e-05-4.426315993200092e-05j)
163,(2.4535699260752608e-05-4.359834202460888e-05j)
164,(2.4345471951292552e-05-4.29437777289543e-05j)
165,(2.415627669805076e-05-4.229944918554551e-05j)
166,(2.3968190879131157e-05-4.1665281480973704e-05j)
167,(2.37812767007739e-05-4.1041210431913555e-05j)
168,(2.359560123643689e-05-4.0427169359702475e-05j)
169,(2.3411217691560182e-05-3.982307652350414e-05j)
170,(2.322818423294848e-05-3.922883333640215e-05j)
